table,column,rows,null_or_blank
customers,customer_id,99441,0
customers,customer_unique_id,99441,0
customers,customer_zip_code_prefix,99441,0
customers,customer_city,99441,0
customers,customer_state,99441,0
geolocation,geolocation_zip_code_prefix,1000163,0
geolocation,geolocation_lat,1000163,0
geolocation,geolocation_lng,1000163,0
geolocation,geolocation_city,1000163,0
geolocation,geolocation_state,1000163,0
order_items,order_id,112650,0
order_items,order_item_id,112650,0
order_items,product_id,112650,0
order_items,seller_id,112650,0
order_items,shipping_limit_date,112650,0
order_items,price,112650,0
order_items,freight_value,112650,0
payments,order_id,103886,0
payments,payment_sequential,103886,0
payments,payment_type,103886,0
payments,payment_installments,103886,0
payments,payment_value,103886,0
reviews,review_id,99224,0
reviews,order_id,99224,0
reviews,review_score,99224,0
reviews,review_comment_title,99224,87658
reviews,review_comment_message,99224,58274
reviews,review_creation_date,99224,0
reviews,review_answer_timestamp,99224,0
orders,order_id,99441,0
orders,customer_id,99441,0
orders,order_status,99441,0
orders,order_purchase_timestamp,99441,0
orders,order_approved_at,99441,160
orders,order_delivered_carrier_date,99441,1783
orders,order_delivered_customer_date,99441,2965
orders,order_estimated_delivery_date,99441,0
products,product_id,32951,0
products,product_category_name,32951,610
products,product_name_lenght,32951,610
products,product_description_lenght,32951,610
products,product_photos_qty,32951,610
products,product_weight_g,32951,2
products,product_length_cm,32951,2
products,product_height_cm,32951,2
products,product_width_cm,32951,2
sellers,seller_id,3095,0
sellers,seller_zip_code_prefix,3095,0
sellers,seller_city,3095,0
sellers,seller_state,3095,0
category_translation,product_category_name,71,0
category_translation,product_category_name_english,71,0
